module;src_file;score;issue;opts;
python3.9;_threadmodule.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;_threadmodule.c;;"-funroll-loops is missing. ";"";
python3.9;listobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;listobject.c;;"-funroll-loops is missing. ";"";
python3.9;boolobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;boolobject.c;;"-funroll-loops is missing. ";"";
python3.9;ceval.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;ceval.c;;"-funroll-loops is missing. ";"";
python3.9;tupleobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;tupleobject.c;;"-funroll-loops is missing. ";"";
python3.9;formatter_unicode.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;formatter_unicode.c;;"-funroll-loops is missing. ";"";
python3.9;abstract.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;abstract.h;;"-funroll-loops is missing. ";"";
python3.9;dictobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;dictobject.c;;"-funroll-loops is missing. ";"";
python3.9;structmember.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;structmember.c;;"-funroll-loops is missing. ";"";
python3.9;moduleobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;moduleobject.c;;"-funroll-loops is missing. ";"";
python3.9;dtoa.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;dtoa.c;;"-funroll-loops is missing. ";"";
python3.9;pycore_pystate.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;pycore_pystate.h;;"-funroll-loops is missing. ";"";
python3.9;modsupport.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;modsupport.c;;"-funroll-loops is missing. ";"";
python3.9;textio.c.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;textio.c.h;;"-funroll-loops is missing. ";"";
python3.9;frameobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;frameobject.c;;"-funroll-loops is missing. ";"";
python3.9;bytesobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;bytesobject.c;;"-funroll-loops is missing. ";"";
python3.9;classobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;classobject.c;;"-funroll-loops is missing. ";"";
python3.9;itertoolsmodule.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;itertoolsmodule.c;;"-funroll-loops is missing. ";"";
python3.9;abstract.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;abstract.c;;"-funroll-loops is missing. ";"";
python3.9;marshal.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;marshal.c;;"-funroll-loops is missing. ";"";
python3.9;obmalloc.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;obmalloc.c;;"-funroll-loops is missing. ";"";
python3.9;object.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;object.h;;"-funroll-loops is missing. ";"";
python3.9;traceback.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;traceback.c;;"-funroll-loops is missing. ";"";
libtensorflow_framework.so.2;basic_string.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU C++11 9.3.1 20200408 -mtune=generic -march=x86-64 -g -O2 -std=gnu++11 -fno-implicit-templates -ffunction-sections -fdata-sections -frandom-seed=string-inst.lo -fPIC ";
libtensorflow_framework.so.2;basic_string.h;;"-funroll-loops is missing. ";"";
python3.9;_sre.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;_sre.c;;"-funroll-loops is missing. ";"";
python3.9;_abc.c.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;_abc.c.h;;"-funroll-loops is missing. ";"";
python3.9;typeobject.c.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;typeobject.c.h;;"-funroll-loops is missing. ";"";
python3.9;pyhash.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;pyhash.c;;"-funroll-loops is missing. ";"";
python3.9;sliceobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;sliceobject.c;;"-funroll-loops is missing. ";"";
python3.9;setobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;setobject.c;;"-funroll-loops is missing. ";"";
python3.9;thread_pthread.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;thread_pthread.h;;"-funroll-loops is missing. ";"";
python3.9;parse.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;parse.c;;"-funroll-loops is missing. ";"";
python3.9;pystate.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;pystate.c;;"-funroll-loops is missing. ";"";
python3.9;capsule.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;capsule.c;;"-funroll-loops is missing. ";"";
python3.9;genobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;genobject.c;;"-funroll-loops is missing. ";"";
python3.9;cellobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;cellobject.c;;"-funroll-loops is missing. ";"";
python3.9;errors.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;errors.c;;"-funroll-loops is missing. ";"";
python3.9;call.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;call.c;;"-funroll-loops is missing. ";"";
python3.9;funcobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;funcobject.c;;"-funroll-loops is missing. ";"";
python3.9;enumobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;enumobject.c;;"-funroll-loops is missing. ";"";
python3.9;methodobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;methodobject.c;;"-funroll-loops is missing. ";"";
python3.9;import.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;import.c;;"-funroll-loops is missing. ";"";
python3.9;longobject.c.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;longobject.c.h;;"-funroll-loops is missing. ";"";
python3.9;bltinmodule.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;bltinmodule.c;;"-funroll-loops is missing. ";"";
python3.9;longobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;longobject.c;;"-funroll-loops is missing. ";"";
python3.9;descrobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;descrobject.c;;"-funroll-loops is missing. ";"";
python3.9;odictobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;odictobject.c;;"-funroll-loops is missing. ";"";
python3.9;weakrefobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;weakrefobject.c;;"-funroll-loops is missing. ";"";
python3.9;bltinmodule.c.h;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
python3.9;bltinmodule.c.h;;"-funroll-loops is missing. ";"";
python3.9;typeobject.c;0.5;"-march=x86-64 is used but it should be replaced by a more architecture specific option or -march=native.";"GNU GIMPLE 11.2.0 -mtune=generic -march=x86-64 -g -g -O3 -O3 -O3 -O3 -O3 -fno-openmp -fno-openacc -fcf-protection=none -fPIC -fuse-linker-plugin -ffat-lto-objects -flto-partition=none -flinker-output=exec ";
